time,x ref,y ref,theta ref,v ref,omega ref
0,0,0,0,0,0,
0.00505,0.000310581,0,0,0.0615012,0,
0.0101,0.000927306,1.03556e-08,1.67913e-05,0.122124,0.00332501,
0.01515,0.0018458,1.17175e-07,0.000116299,0.18188,0.0197044,
0.0202,0.00306176,6.16178e-07,0.00041038,0.240783,0.0582339,
0.02525,0.00457092,2.20413e-06,0.00105221,0.298844,0.127095,
0.0303,0.0063691,6.21226e-06,0.00222899,0.356076,0.233026,
0.03535,0.00845215,1.48582e-05,0.00415058,0.41249,0.380512,
0.0404,0.010816,3.14831e-05,0.00703291,0.468098,0.570758,
0.04545,0.0134565,6.07315e-05,0.0110762,0.522912,0.800652,
0.0505,0.0163697,0.000108627,0.0164396,0.576943,1.06206,
0.05555,0.0195514,0.000182506,0.023216,0.630201,1.34187,
0.0606,0.0229973,0.000290787,0.0314124,0.682699,1.62305,
0.06565,0.0267031,0.000442593,0.0409411,0.734447,1.88686,
0.0707,0.0306644,0.000647276,0.0516251,0.785456,2.11565,
0.07575,0.0348764,0.000913896,0.0632153,0.835736,2.29508,
0.0808,0.0393345,0.00125081,0.0754311,0.885297,2.41897,
0.08585,0.0440337,0.00166529,0.0879746,0.934151,2.48387,
0.0909,0.0489693,0.00216335,0.100571,0.982306,2.49431,
0.09595,0.0541365,0.00274966,0.112984,1.02977,2.4581,
0.101,0.0595307,0.00342762,0.125029,1.07656,2.38506,
0.10605,0.0651474,0.00419951,0.13657,1.12268,2.28532,
0.1111,0.0709825,0.00506659,0.147519,1.16815,2.16816,
0.11615,0.0770318,0.00602935,0.157828,1.21296,2.04136,
0.1212,0.0832915,0.00708762,0.167478,1.25713,1.91104,
0.12625,0.0897579,0.00824078,0.176476,1.30067,1.78166,
0.1313,0.0964274,0.00948781,0.18484,1.34359,1.65633,
0.13635,0.103297,0.0108275,0.192602,1.3859,1.53703,
0.1414,0.110363,0.0122583,0.199798,1.4276,1.4249,
0.14645,0.117622,0.0137788,0.206467,1.46871,1.32048,
0.1515,0.125072,0.0153874,0.212647,1.50922,1.22389,
0.15655,0.13271,0.0170822,0.218379,1.54916,1.13496,
0.1616,0.140532,0.0188618,0.223698,1.58853,1.05331,
0.16665,0.148536,0.0207245,0.22864,1.62734,0.978531,
0.1717,0.156719,0.0226685,0.233236,1.66559,0.910121,
0.17675,0.16508,0.0246924,0.237516,1.7033,0.847576,
0.1818,0.173614,0.0267945,0.241507,1.74046,0.790389,
0.18685,0.18232,0.0289734,0.245235,1.7771,0.738072,
0.1919,0.191195,0.0312274,0.24872,1.81321,0.690214,
0.19695,0.200236,0.0335553,0.251984,1.84881,0.646358,
0.202,0.209442,0.0359555,0.255045,1.8839,0.606144,
0.20705,0.21881,0.0384267,0.25792,1.91849,0.569218,
0.2121,0.228338,0.0409675,0.260623,1.95258,0.535268,
0.21715,0.238023,0.0435768,0.263168,1.98618,0.504038,
0.2222,0.247863,0.0462532,0.265568,2.01931,0.475239,
0.22725,0.257856,0.0489956,0.267834,2.05196,0.448653,
0.2323,0.267999,0.0518027,0.269976,2.08415,0.424084,
0.23735,0.278292,0.0546734,0.272003,2.11587,0.401398,
0.2424,0.28873,0.0576065,0.273923,2.14715,0.380263,
0.24745,0.299314,0.0606011,0.275745,2.17797,0.360752,
0.2525,0.310039,0.063656,0.277475,2.20836,0.342534,
0.25755,0.320905,0.0667702,0.279119,2.23831,0.325639,
0.2626,0.33191,0.0699427,0.280684,2.26783,0.309864,
0.26765,0.343051,0.0731725,0.282174,2.29694,0.295134,
0.2727,0.354326,0.0764587,0.283595,2.32562,0.281409,
0.27775,0.365734,0.0798003,0.284952,2.3539,0.26854,
0.2828,0.377272,0.0831965,0.286247,2.38177,0.256486,
0.28785,0.38894,0.0866462,0.287485,2.40925,0.245214,
0.2929,0.400734,0.0901488,0.28867,2.43633,0.234616,
0.29795,0.412654,0.0937032,0.289804,2.46302,0.224644,
0.303,0.424697,0.0973087,0.290892,2.48934,0.215274,
0.30805,0.436861,0.100964,0.291934,2.51527,0.206464,
0.3131,0.449146,0.10467,0.292935,2.54084,0.198151,
0.31815,0.461549,0.108423,0.293896,2.56604,0.190302,
0.3232,0.474068,0.112225,0.294819,2.59088,0.182886,
0.32825,0.486703,0.116074,0.295708,2.61537,0.175873,
0.3333,0.49945,0.119969,0.296562,2.63951,0.169245,
0.33835,0.51231,0.123911,0.297385,2.6633,0.162972,
0.3434,0.525279,0.127897,0.298178,2.68675,0.157025,
0.34845,0.538357,0.131927,0.298943,2.70987,0.151382,
0.3535,0.551542,0.136001,0.29968,2.73266,0.146023,
0.35855,0.564832,0.140118,0.300392,2.75512,0.140931,
0.3636,0.578226,0.144277,0.301079,2.77726,0.136089,
0.36865,0.591723,0.148478,0.301743,2.79908,0.131481,
0.3737,0.605321,0.15272,0.302385,2.82059,0.127092,
0.37875,0.619018,0.157002,0.303006,2.8418,0.12291,
0.3838,0.632813,0.161324,0.303606,2.8627,0.118922,
0.38885,0.646706,0.165685,0.304188,2.8833,0.115116,
0.3939,0.660693,0.170085,0.304751,2.90361,0.111481,
0.39895,0.674775,0.174523,0.305296,2.92363,0.108007,
0.404,0.688949,0.178998,0.305825,2.94336,0.104686,
0.40905,0.703215,0.18351,0.306337,2.96282,0.101508,
0.4141,0.71757,0.188058,0.306834,2.98199,0.0984664,
0.41915,0.732015,0.192643,0.307317,3.00089,0.0955569,
0.4242,0.746547,0.197262,0.307786,3.01952,0.092768,
0.42925,0.761165,0.201916,0.308241,3.03788,0.090093,
0.4343,0.775868,0.206605,0.308683,3.05598,0.0875256,
0.43935,0.790656,0.211327,0.309112,3.07382,0.0850601,
0.4444,0.805525,0.216083,0.30953,3.09141,0.082691,
0.44945,0.820476,0.220871,0.309936,3.10875,0.0804153,
0.4545,0.835508,0.225691,0.310331,3.12584,0.0782317,
0.45955,0.850618,0.230544,0.310715,3.14268,0.0761301,
0.4646,0.865807,0.235427,0.31109,3.15928,0.0741063,
0.46965,0.881072,0.240342,0.311454,3.17565,0.0721564,
0.4747,0.896414,0.245286,0.311809,3.19178,0.0702791,
0.47975,0.91183,0.250261,0.312155,3.20768,0.0684738,
0.4848,0.927319,0.255266,0.312492,3.22336,0.0667317,
0.48985,0.942882,0.260299,0.31282,3.23881,0.0650498,
0.4949,0.958515,0.265361,0.31314,3.25404,0.0634269,
0.49995,0.97422,0.270452,0.313453,3.26905,0.0618644,
0.505,0.989994,0.27557,0.313758,3.28385,0.0603538,
0.51005,1.00584,0.280715,0.314055,3.29844,0.0588926,
0.5151,1.02175,0.285888,0.314345,3.31282,0.0574831,
0.52015,1.03772,0.291088,0.314629,3.32699,0.0561212,
0.5252,1.05376,0.296313,0.314905,3.34096,0.0548022,
0.53025,1.06987,0.301565,0.315176,3.35473,0.0535264,
0.5353,1.08604,0.306842,0.31544,3.3683,0.052292,
0.54035,1.10228,0.312144,0.315698,3.38168,0.0510982,
0.5454,1.11857,0.317471,0.31595,3.39487,0.0499415,
0.55045,1.13493,0.322823,0.316197,3.40787,0.0488213,
0.5555,1.15134,0.328198,0.316438,3.42069,0.0477363,
0.56055,1.16782,0.333597,0.316673,3.43332,0.0466843,
0.5656,1.18436,0.33902,0.316904,3.44577,0.045664,
0.57065,1.20095,0.344466,0.31713,3.45804,0.0446751,
0.5757,1.2176,0.349934,0.31735,3.47014,0.0437156,
0.58075,1.2343,0.355425,0.317567,3.48207,0.0427842,
0.5858,1.25106,0.360938,0.317778,3.49382,0.04188,
0.59085,1.26788,0.366473,0.317985,3.50541,0.0410022,
0.5959,1.28475,0.372029,0.318188,3.51683,0.0401498,
0.60095,1.30167,0.377606,0.318386,3.52809,0.0393215,
0.606,1.31864,0.383204,0.318581,3.53919,0.0385166,
0.61105,1.33567,0.388823,0.318771,3.55013,0.037734,
0.6161,1.35274,0.394462,0.318958,3.56091,0.036973,
0.62115,1.36987,0.400121,0.319141,3.57154,0.036233,
0.6262,1.38704,0.405799,0.31932,3.58201,0.0355134,
0.63125,1.40426,0.411497,0.319496,3.59234,0.034813,
0.6363,1.42154,0.417214,0.319669,3.60252,0.0341313,
0.64135,1.43885,0.42295,0.319838,3.61255,0.0334676,
0.6464,1.45622,0.428705,0.320003,3.62244,0.0328214,
0.65145,1.47363,0.434478,0.320166,3.63219,0.0321919,
0.6565,1.49108,0.440269,0.320325,3.6418,0.0315786,
0.66155,1.50858,0.446077,0.320482,3.65128,0.030981,
0.6666,1.52613,0.451904,0.320635,3.66061,0.0303985,
0.67165,1.54372,0.457747,0.320786,3.66982,0.0298307,
0.6767,1.56135,0.463608,0.320934,3.67889,0.029277,
0.68175,1.57902,0.469485,0.321079,3.68783,0.028737,
