time,x ref,y ref,theta ref,v ref,omega ref
0,1.330117,13,2.6E-05,0,0
0.02,1.33105,13,0.000231,0.046650000000004,0.01025
0.04,1.33315,13.000001,0.000694,0.105000011904761,0.02315
0.06,1.33665,13.000005,0.001466,0.17500011428568,0.0386
0.08,1.34155,13.000015,0.002548,0.245000510203546,0.0541
0.1,1.34785,13.000035,0.00394,0.315001587297587,0.0696
0.12,1.35555,13.000072,0.005645,0.38500444477954,0.08525
0.14,1.36465,13.000133,0.007662,0.455010222412634,0.10085
0.16,1.375149,13.000225,0.009994,0.524970153913537,0.1166
0.18,1.387048,13.00036,0.012643,0.594988289800738,0.13245
0.2,1.400347,13.000548,0.015611,0.665016437766763,0.1484
0.22,1.415045,13.000801,0.0189,0.735008865592794,0.16445
0.24,1.431141,13.001135,0.022512,0.804973248002685,0.1806
0.26,1.448636,13.001563,0.026451,0.875011727064275,0.19695
0.28,1.467528,13.002103,0.030719,0.944985798835087,0.2134
0.3,1.487817,13.002773,0.03532,1.01500298152272,0.23005
0.32,1.509502,13.003593,0.040255,1.08502491330844,0.24675
0.34,1.532581,13.004584,0.045529,1.15501333542085,0.2637
0.36,1.557052,13.005767,0.051145,1.2249789079817,0.2808
0.38,1.582914,13.007169,0.057106,1.29499869498002,0.29805
0.4,1.610164,13.008813,0.063415,1.36497732215594,0.31545
0.42,1.6388,13.010727,0.070076,1.43499467943264,0.333050000000001
0.44,1.668819,13.012939,0.077091,1.50501935618783,0.350749999999999
0.46,1.700216,13.015481,0.084464,1.57498680391297,0.36865
0.48,1.732988,13.018383,0.092197,1.64501184494216,0.386650000000001
0.5,1.767129,13.021679,0.100294,1.71498651379537,0.404849999999999
0.52,1.802634,13.025404,0.108755,1.78499345236893,0.423049999999999
0.54,1.839497,13.029593,0.117582,1.85501245952689,0.44135
0.56,1.87771,13.034286,0.126778,1.92500494674689,0.4598
0.58,1.917265,13.03952,0.136342,1.99498921112372,0.478200000000002
0.6,1.958153,13.045336,0.146275,2.06497845025075,0.496649999999999
0.62,2.000364,13.051777,0.156576,2.13497950926934,0.51505
0.64,2.043887,13.058886,0.167243,2.2049883276335,0.53335
0.66,2.08871,13.066707,0.178273,2.27501064283225,0.551499999999999
0.68,2.134818,13.075287,0.189664,2.34497551373145,0.56955
0.7,2.182197,13.084671,0.201409,2.41496847650233,0.58725
0.72,2.230831,13.094908,0.213504,2.48498597833067,0.604750000000003
0.74,2.280702,13.106045,0.225941,2.55497035697089,0.62185
0.76,2.331791,13.118133,0.238711,2.62497888801035,0.638499999999998
0.78,2.384078,13.13122,0.251804,2.69499533302009,0.654649999999999
0.8,2.43754,13.145357,0.265208,2.76497749222302,0.670200000000001
0.82,2.492154,13.160593,0.278908,2.83497120443931,0.684999999999999
0.84,2.547895,13.176979,0.292891,2.90497851842315,0.699150000000004
0.86,2.604737,13.194563,0.307139,2.97498320163326,0.712399999999998
0.88,2.662651,13.213396,0.321632,3.04496029736019,0.724649999999998
0.9,2.72161,13.233525,0.336352,3.11502019335351,0.736
0.92,2.781581,13.254997,0.351274,3.18495197177287,0.746099999999999
0.94,2.842534,13.277859,0.366375,3.25497283129982,0.755050000000001
0.96,2.904436,13.302155,0.381631,3.32496361634233,0.762800000000003
0.98,2.967253,13.327928,0.397013,3.39493115467749,0.7691
1,3.030739,13.355125,0.412441,3.45331326590854,0.771399999999999
1.02,3.094438,13.383582,0.427787,3.48832461577189,0.767299999999998
1.04,3.157907,13.413104,0.442929,3.4999508728695,0.757099999999999
1.06,3.220926,13.443576,0.4578,3.49997755171372,0.74355
1.08,3.283489,13.474973,0.472388,3.49996449196274,0.729399999999999
1.1,3.345592,13.50727,0.486681,3.49995672044669,0.714649999999999
1.12,3.407233,13.540442,0.500669,3.49999802321373,0.699400000000002
1.14,3.468409,13.574463,0.514343,3.4999755059857,0.683699999999998
1.16,3.529119,13.609308,0.527695,3.49995647294369,0.667600000000008
1.18,3.589365,13.64495,0.540718,3.49997595706025,0.651149999999994
1.2,3.649147,13.681364,0.553406,3.49995247110588,0.634400000000001
1.22,3.708469,13.718524,0.565755,3.4999876014066,0.617450000000002
1.24,3.767334,13.756403,0.57776,3.49996673769909,0.600249999999996
1.26,3.825747,13.794976,0.589419,3.49998389210577,0.582950000000004
1.28,3.883713,13.834218,0.600729,3.4999970428559,0.565499999999996
1.3,3.941239,13.874102,0.61169,3.49999076141638,0.54805
1.32,3.998331,13.914605,0.622301,3.4999962403551,0.530550000000001
1.34,4.054997,13.955701,0.632561,3.49997027558806,0.512999999999996
1.36,4.111246,13.997366,0.642472,3.49997222346122,0.49555
1.38,4.167087,14.039578,0.652034,3.50002508026731,0.478100000000003
1.4,4.222529,14.082311,0.661249,3.49997309025367,0.460749999999998
1.42,4.277582,14.125545,0.670119,3.50000413035474,0.443500000000007
1.44,4.332257,14.169255,0.678646,3.49997133023971,0.426349999999997
1.46,4.386565,14.213421,0.686833,3.4999980071423,0.409349999999997
1.48,4.440517,14.258021,0.694683,3.49999225141995,0.392500000000001
1.5,4.494125,14.303034,0.702199,3.4999956546402,0.375800000000004
1.52,4.5474,14.34844,0.709383,3.49997516455471,0.359199999999998
1.54,4.600356,14.394219,0.71624,3.50001956315959,0.34285
1.56,4.653004,14.440351,0.722771,3.49999047427277,0.326549999999997
1.58,4.705356,14.486817,0.728982,3.4999360922737,0.310550000000004
1.6,4.757427,14.5336,0.734875,3.50001361783062,0.294649999999996
1.62,4.809229,14.580681,0.740453,3.50002420170206,0.278899999999998
1.64,4.860774,14.628042,0.745721,3.4999826235283,0.263400000000002
1.66,4.912077,14.675665,0.75068,3.49998140637917,0.247950000000002
1.68,4.96315,14.723535,0.755334,3.49999579606892,0.232699999999999
1.7,5.014008,14.771634,0.759687,3.50001784459738,0.217650000000002
1.72,5.064662,14.819947,0.76374,3.49999060177306,0.202649999999998
1.74,5.115128,14.868457,0.767498,3.500013305689,0.187900000000002
1.76,5.165418,14.917149,0.770962,3.49999820142812,0.173199999999995
1.78,5.215546,14.966007,0.774135,3.49997162417065,0.158650000000004
1.8,5.265526,15.015018,0.777019,3.50002804310196,0.1442
1.82,5.315371,15.064165,0.779617,3.49998272638591,0.129899999999999
1.84,5.365096,15.113434,0.78193,3.50000356642679,0.11565
1.86,5.414714,15.162811,0.78396,3.50001216176456,0.101499999999999
1.88,5.464238,15.212282,0.785709,3.50000229178498,0.08745
1.9,5.513682,15.261832,0.787178,3.4999684412863,0.073449999999997
1.92,5.563061,15.311448,0.788367,3.50001182033723,0.05945
1.94,5.612388,15.361116,0.789279,3.50002255457013,0.045600000000001
1.96,5.661676,15.410822,0.789913,3.49999763571349,0.031700000000001
1.98,5.710939,15.460552,0.790271,3.4999700245145,0.017899999999999
